id,name,oldest,newest
abc-news,"ABC News","2018-06-04 00:00:00","2018-06-06 21:38:00"
bbc-news,"BBC News","2018-06-04 00:00:00","2018-06-06 21:45:52"
bloomberg,Bloomberg,"2018-06-04 00:00:00","2018-06-06 21:09:50"
breitbart-news,"Breitbart News","2018-06-04 00:00:00","2018-06-06 21:28:07"
business-insider,"Business Insider","2018-06-04 00:00:00","2018-06-06 21:19:46"
buzzfeed,Buzzfeed,"2018-06-04 00:00:00","2018-06-07 01:46:03"
cbs-news,"CBS News","2018-06-04 00:00:00","2018-06-05 19:04:29"
cnbc,CNBC,"2018-05-29 00:00:00","2018-06-06 21:49:00"
cnn,CNN,"2018-05-29 00:00:00","2018-06-06 22:02:43"
financial-times,"Financial Times","2018-05-29 00:00:00","2018-06-06 21:02:24"
fortune,Fortune,"2018-05-29 00:00:00","2018-06-06 21:09:46"
fox-news,"Fox News","2018-05-29 00:00:00","2018-06-06 04:51:14"
mirror,Mirror,"2018-05-29 00:00:00","2018-06-06 21:58:01"
msnbc,MSNBC,"2018-05-29 00:00:00","2018-06-06 22:09:37"
national-review,"National Review","2018-05-29 00:00:00","2018-06-06 21:16:02"
nbc-news,"NBC News","2018-05-29 00:00:00","2018-06-06 21:29:35"
newsweek,Newsweek,"2018-05-29 00:00:00","2018-06-06 21:12:23"
politico,Politico,"2018-05-29 00:00:00","2018-06-06 21:56:48"
the-economist,"The Economist","2018-05-29 00:00:00","2018-06-06 16:05:51"
the-guardian-uk,"The Guardian (UK)","0000-00-00 00:00:00","2018-06-04 16:42:22"
the-hill,"The Hill","2018-05-29 00:00:00","2018-06-05 19:30:08"
the-huffington-post,"The Huffington Post","2018-05-29 00:00:00","2018-06-06 21:23:00"
the-jerusalem-post,"The Jerusalem Post","2018-05-29 00:00:00","2018-06-06 21:11:43"
the-new-york-times,"The New York Times","2018-05-29 00:00:00","2018-06-06 21:49:22"
the-verge,"The Verge","2018-05-28 00:00:00","2018-06-06 21:25:21"
the-wall-street-journal,"The Wall Street Journal","2018-05-29 00:00:00","2018-06-06 21:56:10"
the-washington-post,"The Washington Post","2018-06-04 00:00:00","2018-06-06 22:02:38"
the-washington-times,"The Washington Times","2018-05-29 00:00:00","2018-06-06 02:32:44"
time,Time,"2018-06-04 00:00:00","2018-06-06 21:56:05"
usa-today,"USA Today","2018-05-29 00:00:00","2018-06-05 18:32:47"
vice-news,"Vice News","2018-05-29 00:00:00","2018-06-06 21:07:39"
